%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069229830967366,1,1708104435000000000,GPS1_Frame,42.33724278,-71.08685042166667,13.373,328083.9723361224,4689330.071002286,19,T,8.6,,5
1708069230839753484,2,1708104436000000000,GPS1_Frame,42.33724200333333,-71.08685118166666,13.02,328083.9076077354,4689329.98629595,19,T,8.6,,5
1708069231845117380,3,1708104437000000000,GPS1_Frame,42.33724142333333,-71.08685201,12.624,328083.8377857085,4689329.923566102,19,T,1.2,,1
1708069232850516879,4,1708104438000000000,GPS1_Frame,42.33724084166667,-71.08685326666667,12.324,328083.73267129826,4689329.861517194,19,T,8.7,,5
1708069233854690327,5,1708104439000000000,GPS1_Frame,42.33724044,-71.08685486166667,12.042,328083.60017413413,4689329.820139955,19,T,8.7,,5
1708069234861944145,6,1708104440000000000,GPS1_Frame,42.337240398333336,-71.08685684333334,11.795,328083.43680283707,4689329.819519735,19,T,8.7,,5
1708069235867926427,7,1708104441000000000,GPS1_Frame,42.33724026833333,-71.08685862,11.428,328083.2900795561,4689329.808676305,19,T,1.2,,1
1708069236873742157,8,1708104442000000000,GPS1_Frame,42.337239978333336,-71.08686081,11.102,328083.1088681716,4689329.780901782,19,T,1.3,,5
1708069237965529621,9,1708104443000000000,GPS1_Frame,42.33723655,-71.08685772333334,10.987,328083.3538177005,4689329.393970887,19,T,1.3,,5
1708069239057303557,10,1708104444000000000,GPS1_Frame,42.33723398833333,-71.08685539333334,10.859,328083.53879173973,4689329.104806552,19,T,1.9,,1
1708069240064338816,11,1708104445000000000,GPS1_Frame,42.337231511666666,-71.086853385,10.656,328083.6974972209,4689328.82573117,19,T,1.9,,1
1708069241069149937,12,1708104446000000000,GPS1_Frame,42.33722930333333,-71.086852195,10.458,328083.7895163168,4689328.578106667,19,T,1.5,,5
1708069242079559974,13,1708104447000000000,GPS1_Frame,42.337227348333336,-71.08685168,10.265,328083.8266165264,4689328.359977615,19,T,1.5,,5
1708069243082808548,14,1708104448000000000,GPS1_Frame,42.33722573,-71.08685063,10.098,328083.90870967635,4689328.178151163,19,T,1.9,,1
1708069244089537913,15,1708104449000000000,GPS1_Frame,42.33722413,-71.086849515,9.958,328083.9962077568,4689327.9982290715,19,T,1.9,,1
1708069245096284157,16,1708104450000000000,GPS1_Frame,42.337222295,-71.08684830666667,9.751,328084.0907546231,4689327.7920233235,19,T,1.3,,1
1708069246102568484,17,1708104451000000000,GPS1_Frame,42.33722085,-71.08684732333333,9.636,328084.1678278643,4689327.629579006,19,T,1.3,,1
1708069247109496397,18,1708104452000000000,GPS1_Frame,42.33721949666667,-71.08684635833333,9.548,328084.24364054,4689327.477350636,19,T,1.3,,1
1708069248113924871,19,1708104453000000000,GPS1_Frame,42.33721824333333,-71.086845525,9.436,328084.3088784863,4689327.33649271,19,T,1.3,,1
1708069249125802996,20,1708104454000000000,GPS1_Frame,42.337217235,-71.08684528166667,9.382,328084.32617747306,4689327.22403302,19,T,1.5,,5
1708069250128867902,21,1708104455000000000,GPS1_Frame,42.337216335,-71.08684471333333,9.31,328084.37054650753,4689327.122945839,19,T,1.2,,1
1708069251134169381,22,1708104456000000000,GPS1_Frame,42.337215555,-71.08684406666667,9.315,328084.4216959771,4689327.035025368,19,T,1.2,,1
1708069252140837130,23,1708104457000000000,GPS1_Frame,42.33721496166667,-71.08684355666666,9.33,328084.46209497435,4689326.968109114,19,T,1.2,,1
1708069253146368453,24,1708104458000000000,GPS1_Frame,42.33721514166667,-71.08684439833333,9.26,328084.39324554487,4689326.989798418,19,T,2.4,,5
1708069254154746416,25,1708104459000000000,GPS1_Frame,42.337216165,-71.08684774666666,9.138,328084.1201848243,4689327.110201419,19,T,1.3,,5
1708069255165318609,26,1708104460000000000,GPS1_Frame,42.33721671333333,-71.08685027666667,9.0,328083.9132473338,4689327.176204801,19,T,1.3,,5
