%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708068350372750425,4,1708102231000000000,GPS1_Frame,42.33824539,-71.08650632166666,23.89,328115.05248722894,4689440.707550462,19,T,0.8,,5
1708068351630185566,5,1708102232000000000,GPS1_Frame,42.338245415,-71.08650611833333,23.924,328115.0693065061,4689440.70991549,19,T,0.8,,5
1708068352891942367,6,1708102233000000000,GPS1_Frame,42.338245541666666,-71.08650593166666,24.028,328115.08502974774,4689440.723603516,19,T,0.8,,5
1708068354156217400,7,1708102234000000000,GPS1_Frame,42.33824563666667,-71.08650564833333,24.082,328115.1086303729,4689440.733579791,19,T,0.8,,5
1708068355413954793,8,1708102235000000000,GPS1_Frame,42.338245675,-71.086505395,24.104,328115.1296051146,4689440.737324309,19,T,0.8,,5
1708068356680418487,9,1708102236000000000,GPS1_Frame,42.338245648333334,-71.08650525333333,24.112,328115.1412033465,4689440.7340768045,19,T,0.8,,5
1708068357966889678,10,1708102237000000000,GPS1_Frame,42.33824572666666,-71.08650513333333,24.156,328115.15130271064,4689440.742532547,19,T,0.8,,5
1708068359232032088,11,1708102238000000000,GPS1_Frame,42.33824570666667,-71.08650501,24.147,328115.1614087574,4689440.740062386,19,T,0.8,,5
1708068360488529273,12,1708102239000000000,GPS1_Frame,42.33824575166667,-71.086504915,24.149,328115.16935772717,4689440.744867251,19,T,0.8,,5
1708068361766842300,13,1708102240000000000,GPS1_Frame,42.338245771666664,-71.08650490166667,24.123,328115.17051065876,4689440.747061146,19,T,0.8,,5
1708068363025865128,14,1708102241000000000,GPS1_Frame,42.33824582,-71.08650488333333,24.067,328115.172152703,4689440.752391133,19,T,0.8,,5
1708068364312395434,15,1708102242000000000,GPS1_Frame,42.33824574333333,-71.08650490833334,24.013,328115.16988424206,4689440.743928422,19,T,0.8,,5
1708068365572861286,16,1708102243000000000,GPS1_Frame,42.338245703333335,-71.08650496833333,23.942,328115.1648322873,4689440.739608015,19,T,0.8,,5
1708068366830835246,17,1708102244000000000,GPS1_Frame,42.33824561833333,-71.08650496166666,23.883,328115.1651499078,4689440.730155936,19,T,0.8,,5
1708068368091000010,18,1708102245000000000,GPS1_Frame,42.338245461666666,-71.08650502,23.788,328115.1599173744,4689440.712877217,19,T,0.8,,5
1708068369348220625,19,1708102246000000000,GPS1_Frame,42.338245353333335,-71.08650505333334,23.776,328115.15687610593,4689440.700915007,19,T,0.8,,5
1708068370608890361,20,1708102247000000000,GPS1_Frame,42.33824529333333,-71.08650506333333,23.742,328115.1558887963,4689440.694272679,19,T,0.8,,5
1708068371867795003,21,1708102248000000000,GPS1_Frame,42.33824520666667,-71.08650513833334,23.697,328115.14947394887,4689440.684800616,19,T,0.8,,5
