%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069945482590869,4,1708102940000000000,GPS1_Frame,42.338164715,-71.08653753333333,26.658,328112.26136516745,4689431.812300508,19,T,1.0,,5
1708069946655284797,5,1708102941000000000,GPS1_Frame,42.33816997666667,-71.08653126333333,26.647,328112.7922423238,4689432.383893686,19,T,1.0,,5
1708069947913798094,6,1708102942000000000,GPS1_Frame,42.33817562833333,-71.086525155,26.47,328113.3108634831,4689432.999120237,19,T,1.0,,5
1708069949171912289,7,1708102943000000000,GPS1_Frame,42.33818131833333,-71.086518835,26.581,328113.84702669934,4689433.618175571,19,T,1.0,,5
1708069950431160529,8,1708102944000000000,GPS1_Frame,42.33818712833333,-71.08651164,26.746,328114.4556017617,4689434.248787231,19,T,1.0,,5
1708069951687661818,9,1708102945000000000,GPS1_Frame,42.33819307833333,-71.08650472666666,26.915,328115.0413536823,4689434.895514258,19,T,1.0,,5
1708069952863873960,10,1708102946000000000,GPS1_Frame,42.338198295,-71.086497635,26.586,328115.63979898265,4689435.460449759,19,T,1.0,,5
1708069954036320924,11,1708102947000000000,GPS1_Frame,42.33820330333333,-71.08649112166667,26.236,328116.19003182766,4689436.003420553,19,T,0.9,,5
1708069955213399463,12,1708102948000000000,GPS1_Frame,42.33820976166667,-71.08648421166667,26.45,328116.7768938804,4689436.706601,19,T,0.9,,5
1708069956386067259,13,1708102949000000000,GPS1_Frame,42.33821566,-71.086476775,26.143,328117.40561827377,4689437.346533131,19,T,0.9,,5
1708069957559898111,14,1708102950000000000,GPS1_Frame,42.338221635,-71.08646975833334,26.026,328117.99995067366,4689437.995827568,19,T,0.9,,5
1708069958733999748,15,1708102951000000000,GPS1_Frame,42.338227563333334,-71.08646243166666,25.872,328118.61969447683,4689438.639313434,19,T,0.9,,5
1708069959909275446,16,1708102952000000000,GPS1_Frame,42.33823340666667,-71.08645488,25.747,328119.25774269225,4689439.272905928,19,T,1.0,,5
1708069961002260986,17,1708102953000000000,GPS1_Frame,42.33823947166667,-71.08644739833333,25.626,328119.89062796475,4689439.93125437,19,T,1.0,,5
1708069962090158228,18,1708102954000000000,GPS1_Frame,42.33824497,-71.08643974333333,25.178,328120.53624883806,4689440.526328474,19,T,0.9,,5
1708069963263981664,19,1708102955000000000,GPS1_Frame,42.338251508333336,-71.08643223833333,25.055,328121.172345796,4689441.237189921,19,T,0.9,,5
1708069964438305563,20,1708102956000000000,GPS1_Frame,42.33825723333333,-71.08642442666667,24.652,328121.8314906502,4689441.857117058,19,T,0.9,,5
1708069965612827870,21,1708102957000000000,GPS1_Frame,42.3382636,-71.08641687666666,24.611,328122.4708268578,4689442.548825378,19,T,0.9,,5
1708069966791302469,22,1708102958000000000,GPS1_Frame,42.33826987166667,-71.086409525,24.64,328123.09356486745,4689443.230385633,19,T,0.9,,5
1708069967975125272,23,1708102959000000000,GPS1_Frame,42.33827629333334,-71.086402475,24.698,328123.6918593297,4689443.929212079,19,T,1.0,,5
1708069969062677924,24,1708102960000000000,GPS1_Frame,42.3382825,-71.08639537166667,24.473,328124.2939616362,4689444.604056657,19,T,1.0,,5
1708069970239218244,25,1708102961000000000,GPS1_Frame,42.338288875,-71.08638696333334,24.237,328125.0040318734,4689445.294955544,19,T,1.0,,5
1708069971329663799,26,1708102962000000000,GPS1_Frame,42.33829534666667,-71.08637881,24.127,328125.69335776335,4689445.997104041,19,T,1.0,,5
1708069972420318234,27,1708102963000000000,GPS1_Frame,42.33830216166667,-71.08637127833333,24.026,328126.3324043789,4689446.738633755,19,T,1.1,,5
1708069973510780477,28,1708102964000000000,GPS1_Frame,42.338308358333336,-71.08636363666666,23.919,328126.97882829,4689447.411279968,19,T,1.0,,5
