Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,imu_string
1711642272.2088752,0,1711642272,208499670,imu1_frame,0,0,0,,-0.572870556,-0.765151053,-0.109236379,0.27281972993818404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.029742,-0.006881,-0.2274,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.251,-0.63,-9.53,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1927,0.2142,-0.3192,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-076.735,-002.568,+000.174,-00.1927,+00.2142,-00.3192,-01.251,-00.630,-09.530,-00.029742,-00.006881,-00.227401*66\r\n'"
1711642272.2345498,0,1711642272,234098672,imu1_frame,0,0,0,,-0.696311186,-0.656226662,-0.157653509,0.24425943337159126,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.023032,-0.007301,-0.23363,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.051,-0.762,-9.544,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.195,0.2179,-0.3234,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-077.075,-002.571,+000.159,-00.1950,+00.2179,-00.3234,-01.051,-00.762,-09.544,-00.023032,-00.007301,-00.233634*6A\r\n'"
1711642272.2586305,0,1711642272,258130788,imu1_frame,0,0,0,,-0.79856785,-0.528562645,-0.200063425,0.20708825379939677,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.025456,-0.003733,-0.23144,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.041,-0.694,-9.545,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1962,0.2155,-0.318,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-077.412,-002.573,+000.142,-00.1962,+00.2155,-00.3180,-01.041,-00.694,-09.545,-00.025456,-00.003733,-00.231440*6E\r\n'"
1711642272.2845943,0,1711642272,284161329,imu1_frame,0,0,0,,-0.876821412,-0.386366371,-0.235190105,0.16306702441173304,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.020782,-0.002589,-0.23088,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.032,-0.725,-9.176,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.202,0.2133,-0.3141,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-077.746,-002.573,+000.124,-00.2020,+00.2133,-00.3141,-01.032,-00.725,-09.176,-00.020782,-00.002589,-00.230886*6C\r\n'"
1711642272.3092499,0,1711642272,308659791,imu1_frame,0,0,0,,-0.929319198,-0.235225017,-0.260846393,0.11399201454900804,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.020052,0.000882,-0.22952,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.049,-0.666,-9.306,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1997,0.212,-0.3195,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-078.075,-002.573,+000.106,-00.1997,+00.2120,-00.3195,-01.049,-00.666,-09.306,-00.020052,+00.000882,-00.229529*6E\r\n'"
1711642272.3337336,0,1711642272,333223104,imu1_frame,0,0,0,,-0.956173805,-0.07823411,-0.275115637,0.062629584,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.024272,-0.002021,-0.2263,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.006,-0.651,-9.416,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1997,0.2108,-0.3222,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-078.403,-002.576,+000.091,-00.1997,+00.2108,-00.3222,-01.006,-00.651,-09.416,-00.024272,-00.002021,-00.226306*68\r\n'"
1711642272.3587012,0,1711642272,358258008,imu1_frame,0,0,0,,-0.956079419,0.081004793,-0.281526637,0.009649888,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.01597,0.001079,-0.23193,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.884,-0.6,-8.977,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2032,0.2158,-0.3128,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-078.731,-002.575,+000.076,-00.2032,+00.2158,-00.3128,-00.884,-00.600,-08.977,-00.015970,+00.001079,-00.231936*69\r\n'"
1711642272.3846178,0,1711642272,384128332,imu1_frame,0,0,0,,-0.930343068,0.23768316757437682,-0.275510802,-0.045412402,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.021004,0.000554,-0.22996,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.935,-0.691,-9.215,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2044,0.2134,-0.317,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-079.056,-002.578,+000.055,-00.2044,+00.2134,-00.3170,-00.935,-00.691,-09.215,-00.021004,+00.000554,-00.229964*61\r\n'"
1711642272.4089503,0,1711642272,408413887,imu1_frame,0,0,0,,-0.878773543,0.3885065048238236,-0.259648819,-0.096965183,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.023579,0.000465,-0.23003,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.892,-0.69,-9.424,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2068,0.2086,-0.3171,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-079.383,-002.581,+000.037,-00.2068,+00.2086,-00.3171,-00.892,-00.690,-09.424,-00.023579,+00.000465,-00.230035*6D\r\n'"
1711642272.4344454,0,1711642272,434025526,imu1_frame,0,0,0,,-0.803349022,0.5282406192823278,-0.235377404,-0.142090373,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.017409,-0.000332,-0.23028,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.93,-0.701,-9.547,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2056,0.2134,-0.3225,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-079.710,-002.585,+000.024,-00.2056,+00.2134,-00.3225,-00.930,-00.701,-09.547,-00.017409,-00.000332,-00.230280*68\r\n'"
